feature,importance_mean,importance_std
throughput_tph,244.8957831764756,9.612565953526026
ucs_mpa,41.74127499305253,3.1334388185972077
holes_count,41.412242308081666,4.068407126705407
crusher_id,20.283259442734547,1.593559204654752
powder_factor_kg_t,3.664320792838971,0.9404593649249369
moisture_pct,1.1716849519053218,0.8356770001400633
rmr,0.056459998707765635,0.11679510124798226
mean_payload_t,0.005871131845748323,0.00538542256698921
bench_anon,0.002518881382290298,0.03517383654796076
traceability_confidence,-0.047188314602915206,0.10749617583111688
